RowID ^ StrongsSequence ^ Count
200 ^ G1139 ^ 13
201 ^ G114 ^ 15
202 ^ G114-G5105 ^ 1
203 ^ G1140 ^ 59
204 ^ G1140-G1537 ^ 1
205 ^ G1141 ^ 1
206 ^ G1142 ^ 5
207 ^ G1143 ^ 1
208 ^ G1144 ^ 11
209 ^ G1145 ^ 1
210 ^ G1146 ^ 1
211 ^ G1147 ^ 8
212 ^ G1148 ^ 1
213 ^ G1149 ^ 1
214 ^ G115 ^ 1
215 ^ G1150 ^ 4
216 ^ G1151 ^ 1
217 ^ G1152 ^ 1
218 ^ G1154 ^ 15
219 ^ G1155 ^ 4
220 ^ G1156 ^ 1
221 ^ G1157 ^ 1
222 ^ G1158 ^ 2
223 ^ G1159 ^ 5
224 ^ G116 ^ 4
225 ^ G1160 ^ 1
226 ^ G1161 ^ 2791
227 ^ G1161-G2089 ^ 1
228 ^ G1161-G3756 ^ 2
229 ^ G1161-G5037 ^ 1
230 ^ G1161-G5100 ^ 1
231 ^ G1161-G5305 ^ 1
232 ^ G1162 ^ 19
233 ^ G1163 ^ 101
234 ^ G1163-G2076 ^ 1
235 ^ G1163-G2532 ^ 1
236 ^ G1163-G3303 ^ 1
237 ^ G1164 ^ 1
238 ^ G1165 ^ 1
239 ^ G1166 ^ 31
240 ^ G1167 ^ 1
241 ^ G1168 ^ 1
242 ^ G1169 ^ 3
243 ^ G117 ^ 2
244 ^ G1170 ^ 1
245 ^ G1171 ^ 2
246 ^ G1172 ^ 4
247 ^ G1173 ^ 16
248 ^ G1174 ^ 1
249 ^ G1175 ^ 1
250 ^ G1176 ^ 24
251 ^ G1176-G2532-G3638 ^ 3
252 ^ G1177 ^ 2
253 ^ G1178 ^ 3
254 ^ G1179 ^ 3
255 ^ G118 ^ 2
256 ^ G1180 ^ 5
257 ^ G1181 ^ 4
258 ^ G1182 ^ 3
259 ^ G1183 ^ 2
260 ^ G1184 ^ 5
261 ^ G1185 ^ 3
262 ^ G1186 ^ 26
263 ^ G1187 ^ 1
264 ^ G1188 ^ 53
265 ^ G1189 ^ 22
266 ^ G119 ^ 1
267 ^ G1190 ^ 1
268 ^ G1191 ^ 3
269 ^ G1193 ^ 2
270 ^ G1194 ^ 15
271 ^ G1195 ^ 2
272 ^ G1196 ^ 1
273 ^ G1197 ^ 1
274 ^ G1198 ^ 15
