RowID ^ StrongsSequence ^ Count
3788 ^ G367 ^ 11
3789 ^ G3670 ^ 22
3790 ^ G3670-G1722 ^ 1
3791 ^ G3671 ^ 6
3792 ^ G3672 ^ 1
3793 ^ G3673 ^ 1
3794 ^ G3674 ^ 3
3795 ^ G3675 ^ 1
3796 ^ G3676 ^ 2
3797 ^ G3676-G3305-G2532 ^ 1
3798 ^ G3677 ^ 6
3799 ^ G3678 ^ 1
3800 ^ G3679 ^ 9
3801 ^ G3679-G846 ^ 1
3802 ^ G3680 ^ 5
3803 ^ G3681 ^ 1
3804 ^ G3682 ^ 2
3805 ^ G3683 ^ 2
3806 ^ G3685 ^ 1
3807 ^ G3686 ^ 212
3808 ^ G3686-G2532 ^ 1
3809 ^ G3686-G2564 ^ 1
3810 ^ G3686-G3767 ^ 1
3811 ^ G3687 ^ 9
3812 ^ G3688 ^ 6
3813 ^ G3689 ^ 8
3814 ^ G3689-G302 ^ 1
3815 ^ G369 ^ 1
3816 ^ G3690 ^ 7
3817 ^ G3691 ^ 8
3818 ^ G3692 ^ 2
3819 ^ G3693 ^ 7
3820 ^ G3694 ^ 28
3821 ^ G3694-G3303 ^ 1
3822 ^ G3695 ^ 1
3823 ^ G3696 ^ 6
3824 ^ G3697 ^ 4
3825 ^ G3697-G4218 ^ 1
3826 ^ G3698 ^ 1
3827 ^ G3699 ^ 70
3828 ^ G3699-G1437 ^ 5
3829 ^ G3699-G302 ^ 6
3830 ^ G37 ^ 29
3831 ^ G370 ^ 1
3832 ^ G3700 ^ 58
3833 ^ G3701 ^ 4
3834 ^ G3702 ^ 1
3835 ^ G3703 ^ 1
3836 ^ G3704 ^ 56
3837 ^ G3705 ^ 12
3838 ^ G3706 ^ 4
3839 ^ G3707 ^ 1
3840 ^ G3708 ^ 58
3841 ^ G3709 ^ 36
3842 ^ G371 ^ 2
3843 ^ G3710 ^ 8
3844 ^ G3711 ^ 1
3845 ^ G3712 ^ 2
3846 ^ G3713 ^ 3
3847 ^ G3714 ^ 2
3848 ^ G3715 ^ 1
3849 ^ G3716-G3756 ^ 1
3850 ^ G3717 ^ 2
3851 ^ G3718 ^ 1
3852 ^ G3719 ^ 1
3853 ^ G372 ^ 4
3854 ^ G3720 ^ 1
3855 ^ G3721 ^ 1
3856 ^ G3722 ^ 1
3857 ^ G3723 ^ 4
3858 ^ G3724 ^ 8
3859 ^ G3725 ^ 11
3860 ^ G3726 ^ 3
3861 ^ G3727 ^ 8
3862 ^ G3728 ^ 4
3863 ^ G3729 ^ 5
3864 ^ G373 ^ 11
3865 ^ G373-G5209 ^ 1
3866 ^ G3730 ^ 1
3867 ^ G3730-G2116 ^ 1
3868 ^ G3731 ^ 1
3869 ^ G3732 ^ 3
3870 ^ G3733 ^ 2
3871 ^ G3734 ^ 1
3872 ^ G3735 ^ 64
3873 ^ G3735-G3699 ^ 1
3874 ^ G3736 ^ 3
3875 ^ G3737 ^ 2
3876 ^ G3738 ^ 4
3877 ^ G3739 ^ 1112
3878 ^ G3739-G1065 ^ 1
3879 ^ G3739-G1221 ^ 1
3880 ^ G3739-G1437 ^ 42
3881 ^ G3739-G1520 ^ 1
3882 ^ G3739-G1752 ^ 1
3883 ^ G3739-G2532 ^ 1
3884 ^ G3739-G3004 ^ 1
3885 ^ G3739-G302 ^ 55
3886 ^ G3739-G3303 ^ 18
3887 ^ G3739-G4238 ^ 1
3888 ^ G3739-G5037 ^ 1
3889 ^ G3739-G5100-G1437 ^ 1
3890 ^ G3739-G5158 ^ 4
3891 ^ G3739-G5158-G337 ^ 1
3892 ^ G374 ^ 1
3893 ^ G3740 ^ 3
3894 ^ G3741 ^ 7
3895 ^ G3742 ^ 2
3896 ^ G3743 ^ 1
3897 ^ G3744 ^ 6
3898 ^ G3745 ^ 86
3899 ^ G3745-G1437 ^ 3
3900 ^ G3745-G302 ^ 13
3901 ^ G3745-G5550 ^ 1
3902 ^ G3746 ^ 1
3903 ^ G3747 ^ 5
3904 ^ G3748 ^ 141
3905 ^ G3748-G1437 ^ 1
3906 ^ G3748-G2532 ^ 1
3907 ^ G3748-G302 ^ 8
3908 ^ G3749 ^ 2
3909 ^ G375 ^ 3
3910 ^ G375-G846 ^ 1
3911 ^ G3750 ^ 1
3912 ^ G3751 ^ 8
3913 ^ G3752 ^ 123
3914 ^ G3753 ^ 105
3915 ^ G3754 ^ 1117
3916 ^ G3754-G1722 ^ 1
3917 ^ G3754-G3634 ^ 1
3918 ^ G3754-G3756 ^ 1
3919 ^ G3756 ^ 1336
3920 ^ G3756-G2193 ^ 1
3921 ^ G3756-G302 ^ 2
3922 ^ G3756-G3641 ^ 1
3923 ^ G3756-G3762 ^ 1
3924 ^ G3756-G3956 ^ 1
3925 ^ G3756-G3956-G2089 ^ 1
3926 ^ G3756-G4119-G2228 ^ 1
3927 ^ G3756-G5100 ^ 2
3928 ^ G3756-G5101 ^ 2
3929 ^ G3756-G5108 ^ 1
3930 ^ G3756-G514 ^ 1
3931 ^ G3756-G5177 ^ 1
3932 ^ G3756-G859-G1519-G165 ^ 1
3933 ^ G3757 ^ 26
3934 ^ G3757-G1437 ^ 1
3935 ^ G3758 ^ 1
3936 ^ G3759 ^ 47
3937 ^ G376 ^ 2
3938 ^ G3760 ^ 1
3939 ^ G3761 ^ 129
3940 ^ G3761-G1437 ^ 1
3941 ^ G3761-G314 ^ 1
3942 ^ G3761-G3361 ^ 1
3943 ^ G3762 ^ 217
3944 ^ G3762-G3756 ^ 1
3945 ^ G3762-G3764 ^ 1
3946 ^ G3762-G91-G3165 ^ 1
3947 ^ G3763 ^ 16
3948 ^ G3764 ^ 2
3949 ^ G3764-G1492 ^ 1
3950 ^ G3764-G3762 ^ 1
3951 ^ G3765 ^ 35
3952 ^ G3765-G3004-G5209 ^ 1
3953 ^ G3765-G3364 ^ 1
3954 ^ G3765-G4043 ^ 1
3955 ^ G3766 ^ 1
3956 ^ G3767 ^ 488
3957 ^ G3767-G3303 ^ 9
3958 ^ G3768 ^ 20
3959 ^ G3768-G1410 ^ 1
3960 ^ G3768-G932 ^ 1
3961 ^ G3769 ^ 5
3962 ^ G377 ^ 11
3963 ^ G3770 ^ 6
3964 ^ G3771 ^ 2
3965 ^ G3772 ^ 281
3966 ^ G3772-G444 ^ 1
3967 ^ G3773 ^ 1
3968 ^ G3774 ^ 1
3969 ^ G3775 ^ 37
3970 ^ G3776 ^ 2
3971 ^ G3777 ^ 92
3972 ^ G3777-G3340 ^ 1
3973 ^ G3778 ^ 347
3974 ^ G3778-G1526 ^ 1
3975 ^ G3778-G3303 ^ 1
3976 ^ G3779 ^ 205
3977 ^ G3779-G2532 ^ 2
3978 ^ G378 ^ 6
3979 ^ G3780 ^ 53
3980 ^ G3781 ^ 7
3981 ^ G3782 ^ 2
3982 ^ G3783 ^ 2
3983 ^ G3784 ^ 36
3984 ^ G3785 ^ 3
3985 ^ G3785-G1065 ^ 1
3986 ^ G3786 ^ 3
3987 ^ G3787 ^ 2
3988 ^ G3788 ^ 101
3989 ^ G3788-G1161 ^ 1
3990 ^ G3789 ^ 14
3991 ^ G379 ^ 2
3992 ^ G3790 ^ 1
3993 ^ G3791 ^ 2
3994 ^ G3792 ^ 1
3995 ^ G3793 ^ 170
3996 ^ G3794 ^ 1
3997 ^ G3795 ^ 5
3998 ^ G3796 ^ 3
3999 ^ G3797 ^ 1
4000 ^ G3798 ^ 13
4001 ^ G3798-G1096 ^ 1
4002 ^ G3799 ^ 3
4003 ^ G38 ^ 10
4004 ^ G380 ^ 1
4005 ^ G3800 ^ 4
4006 ^ G3801 ^ 4
4007 ^ G3802 ^ 1
4008 ^ G3803 ^ 5
4009 ^ G3804 ^ 16
4010 ^ G3805 ^ 1
4011 ^ G3806 ^ 3
4012 ^ G3807 ^ 3
4013 ^ G3808 ^ 2
4014 ^ G3809 ^ 6
4015 ^ G381 ^ 3
4016 ^ G3810 ^ 2
4017 ^ G3811 ^ 13
4018 ^ G3812 ^ 1
4019 ^ G3813 ^ 50
4020 ^ G3813-G2532 ^ 1
4021 ^ G3814 ^ 13
4022 ^ G3815 ^ 1
4023 ^ G3816 ^ 24
4024 ^ G3817 ^ 5
4025 ^ G3819 ^ 4
4026 ^ G382 ^ 1
4027 ^ G3820 ^ 19
4028 ^ G3821 ^ 1
4029 ^ G3822 ^ 2
4030 ^ G3822-G3361 ^ 1
4031 ^ G3822-G3588-G4413 ^ 1
4032 ^ G3824 ^ 2
4033 ^ G3825 ^ 140
4034 ^ G3826 ^ 1
4035 ^ G3827 ^ 1
4036 ^ G3828 ^ 5
4037 ^ G3829 ^ 1
4038 ^ G383 ^ 2
4039 ^ G3830 ^ 1
4040 ^ G3831 ^ 1
4041 ^ G3832 ^ 1
4042 ^ G3833 ^ 2
4043 ^ G3833-G846 ^ 1
4044 ^ G3834 ^ 5
4045 ^ G3835 ^ 1
4046 ^ G3836 ^ 1
4047 ^ G3837 ^ 7
4048 ^ G3838 ^ 1
4049 ^ G3839 ^ 1
4050 ^ G384 ^ 1
4051 ^ G3840 ^ 2
4052 ^ G3841 ^ 10
4053 ^ G3842 ^ 41
4054 ^ G3843 ^ 8
4055 ^ G3843-G3756 ^ 1
4056 ^ G3844 ^ 186
4057 ^ G3844-G2244-G2540 ^ 1
4058 ^ G3844-G2962 ^ 2
4059 ^ G3844-G5124 ^ 2
4060 ^ G3844-G846 ^ 1
4061 ^ G3845 ^ 4
4062 ^ G3846 ^ 2
4063 ^ G3847 ^ 7
4064 ^ G3848 ^ 5
4065 ^ G3849 ^ 2
4066 ^ G385 ^ 1
4067 ^ G385-G846 ^ 1
4068 ^ G3850 ^ 50
4069 ^ G3851 ^ 1
4070 ^ G3852 ^ 4
4071 ^ G3853 ^ 28
4072 ^ G3853-G3852 ^ 1
4073 ^ G3853-G4671 ^ 1
4074 ^ G3854 ^ 37
4075 ^ G3855 ^ 10
4076 ^ G3856 ^ 1
4077 ^ G3856-G846 ^ 1
4078 ^ G3857 ^ 3
4079 ^ G3858 ^ 5
4080 ^ G3859 ^ 1
4081 ^ G386 ^ 40
4082 ^ G3860 ^ 108
4083 ^ G3860-G1438 ^ 1
4084 ^ G3860-G2532 ^ 1
4085 ^ G3860-G5037 ^ 1
4086 ^ G3860-G5209 ^ 4
4087 ^ G3860-G846 ^ 6
4088 ^ G3861 ^ 1
4089 ^ G3862 ^ 13
4090 ^ G3863 ^ 1
4091 ^ G3863-G3588-G2962 ^ 1
4092 ^ G3863-G5209 ^ 1
4093 ^ G3863-G846 ^ 1
4094 ^ G3864 ^ 1
4095 ^ G3865 ^ 1
4096 ^ G3866-G3450 ^ 1
4097 ^ G3867 ^ 2
4098 ^ G3868 ^ 11
4099 ^ G3869 ^ 1
4100 ^ G387 ^ 2
4101 ^ G387-G3588-G3625 ^ 1
4102 ^ G3870 ^ 107
4103 ^ G3870-G5209 ^ 1
4104 ^ G3871 ^ 1
4105 ^ G3872 ^ 2
4106 ^ G3873 ^ 2
4107 ^ G3874 ^ 29
4108 ^ G3875 ^ 5
4109 ^ G3876 ^ 3
4110 ^ G3877 ^ 4
4111 ^ G3878 ^ 2
4112 ^ G3879 ^ 5
4113 ^ G388-G1438-G3588-G5207-G2316 ^ 1
4114 ^ G3880 ^ 48
4115 ^ G3880-G846 ^ 2
4116 ^ G3881 ^ 2
4117 ^ G3882 ^ 1
4118 ^ G3883 ^ 1
4119 ^ G3884 ^ 2
4120 ^ G3885 ^ 10
4121 ^ G3886 ^ 5
4122 ^ G3887 ^ 3
4123 ^ G3888 ^ 4
4124 ^ G3889 ^ 1
4125 ^ G389 ^ 1
4126 ^ G3890 ^ 1
4127 ^ G3891 ^ 1
4128 ^ G3892 ^ 1
4129 ^ G3893 ^ 1
4130 ^ G3894 ^ 2
4131 ^ G3895 ^ 1
4132 ^ G3896 ^ 1
4133 ^ G3897 ^ 1
4134 ^ G3898 ^ 1
4135 ^ G3899 ^ 5
4136 ^ G39 ^ 9
4137 ^ G39-G39 ^ 1
4138 ^ G390 ^ 9
4139 ^ G390-G2573 ^ 1
4140 ^ G390-G3779 ^ 1
4141 ^ G3900 ^ 23
4142 ^ G3901 ^ 1
4143 ^ G3902 ^ 1
4144 ^ G3903 ^ 4
4145 ^ G3904 ^ 6
4146 ^ G3905 ^ 1
4147 ^ G3906 ^ 5
4148 ^ G3907 ^ 1
4149 ^ G3908 ^ 17
4150 ^ G3908-G5132 ^ 1
4151 ^ G3908-G846-G2532 ^ 1
4152 ^ G3909 ^ 1
4153 ^ G391 ^ 12
4154 ^ G3910 ^ 1
4155 ^ G3911 ^ 2
4156 ^ G3912 ^ 1
4157 ^ G3913 ^ 1
4158 ^ G3914 ^ 4
4159 ^ G3915 ^ 1
4160 ^ G3916 ^ 19
4161 ^ G3917 ^ 1
4162 ^ G3918 ^ 21
4163 ^ G3918-G2249-G3956 ^ 1
4164 ^ G3918-G3361 ^ 1
4165 ^ G3919 ^ 1
4166 ^ G392 ^ 1
4167 ^ G3920 ^ 1
4168 ^ G3921 ^ 1
4169 ^ G3922 ^ 2
4170 ^ G3923 ^ 1
4171 ^ G3924 ^ 3
4172 ^ G3925 ^ 9
4173 ^ G3926 ^ 1
4174 ^ G3927 ^ 3
4175 ^ G3928 ^ 30
4176 ^ G3928-G2235 ^ 1
4177 ^ G3929 ^ 1
4178 ^ G393 ^ 9
4179 ^ G3930 ^ 11
4180 ^ G3930-G2873 ^ 4
4181 ^ G3930-G3427-G3361-G2873 ^ 1
4182 ^ G3931 ^ 1
4183 ^ G3932 ^ 1
4184 ^ G3933 ^ 14
4185 ^ G3934 ^ 1
4186 ^ G3935 ^ 1
4187 ^ G3936 ^ 41
4188 ^ G3937 ^ 1
4189 ^ G3939 ^ 1
4190 ^ G3939-G4771-G3441 ^ 1
4191 ^ G394 ^ 2
4192 ^ G3940 ^ 2
4193 ^ G3941 ^ 4
4194 ^ G3942 ^ 5
4195 ^ G3943 ^ 2
4196 ^ G3944 ^ 1
4197 ^ G3945 ^ 1
4198 ^ G3946 ^ 2
4199 ^ G3947 ^ 2
4200 ^ G3948-G1096 ^ 1
4201 ^ G3949 ^ 1
4202 ^ G3949-G3361-G5216-G5043 ^ 1
4203 ^ G395 ^ 8
4204 ^ G395-G2246 ^ 2
4205 ^ G3950 ^ 1
4206 ^ G3951 ^ 1
4207 ^ G3952 ^ 24
4208 ^ G3953 ^ 2
4209 ^ G3954 ^ 26
4210 ^ G3955 ^ 9
4211 ^ G3956 ^ 1179
4212 ^ G3956-G1161 ^ 1
4213 ^ G3956-G2250 ^ 2
4214 ^ G3956-G3303 ^ 2
4215 ^ G3956-G3361 ^ 1
4216 ^ G3956-G3739 ^ 4
4217 ^ G3956-G3739-G302 ^ 3
4218 ^ G3956-G3745-G302 ^ 1
4219 ^ G3956-G3748 ^ 2
4220 ^ G3956-G3756 ^ 5
4221 ^ G3956-G3844-G1438 ^ 1
4222 ^ G3956-G4190-G4487 ^ 1
4223 ^ G3956-G4487-G3756 ^ 1
4224 ^ G3956-G5216 ^ 1
4225 ^ G3957 ^ 29
4226 ^ G3958 ^ 42
4227 ^ G3959 ^ 1
4228 ^ G396 ^ 2
4229 ^ G3960 ^ 10
4230 ^ G3961 ^ 5
4231 ^ G3962 ^ 412
4232 ^ G3962-G2532 ^ 2
4233 ^ G3962-G3767 ^ 1
4234 ^ G3963 ^ 1
4235 ^ G3964 ^ 1
4236 ^ G3965 ^ 3
4237 ^ G3966 ^ 4
4238 ^ G3967 ^ 1
4239 ^ G3968 ^ 8
4240 ^ G3969 ^ 1
4241 ^ G397 ^ 3
4242 ^ G3970 ^ 1
4243 ^ G3971 ^ 3
4244 ^ G3972 ^ 159
4245 ^ G3972-G2532 ^ 1
4246 ^ G3973 ^ 14
4247 ^ G3973-G302 ^ 1
4248 ^ G3974 ^ 2
4249 ^ G3975 ^ 2
4250 ^ G3976 ^ 3
4251 ^ G3977-G5117 ^ 1
4252 ^ G3978 ^ 1
4253 ^ G3979 ^ 2
4254 ^ G398 ^ 2
4255 ^ G3980 ^ 4
4256 ^ G3981 ^ 1
4257 ^ G3982 ^ 51
4258 ^ G3982-G3756 ^ 1
4259 ^ G3982-G5124 ^ 1
4260 ^ G3982-G986-G3588-G935-G1909-G2846 ^ 1
4261 ^ G3983 ^ 22
4262 ^ G3983-G5305 ^ 1
4263 ^ G3984 ^ 1
4264 ^ G3985 ^ 39
4265 ^ G3986 ^ 20
4266 ^ G3987 ^ 2
4267 ^ G3988 ^ 1
4268 ^ G3989 ^ 2
4269 ^ G399 ^ 8
4270 ^ G399-G846 ^ 2
4271 ^ G3990 ^ 1
4272 ^ G3991 ^ 4
4273 ^ G3992 ^ 77
4274 ^ G3992-G2532 ^ 1
4275 ^ G3993 ^ 1
4276 ^ G3994 ^ 6
4277 ^ G3995 ^ 1
4278 ^ G3996 ^ 10
4279 ^ G3997 ^ 5
4280 ^ G3998 ^ 1
4281 ^ G3999 ^ 1
4282 ^ G4 ^ 1
4283 ^ G40 ^ 228
4284 ^ G400 ^ 1
4285 ^ G4000 ^ 6
4286 ^ G4001 ^ 2
4287 ^ G4002 ^ 34
4288 ^ G4002-G1501 ^ 1
4289 ^ G4002-G3461 ^ 1
4290 ^ G4003 ^ 1
4291 ^ G4004 ^ 5
4292 ^ G4005 ^ 3
4293 ^ G4006 ^ 6
4294 ^ G4008 ^ 22
4295 ^ G4009 ^ 4
4296 ^ G401 ^ 1
4297 ^ G4010 ^ 2
4298 ^ G4011 ^ 3
4299 ^ G4012 ^ 311
4300 ^ G4012-G1565-G5117 ^ 1
4301 ^ G4012-G2257 ^ 1
4302 ^ G4012-G3303 ^ 1
4303 ^ G4012-G3739 ^ 4
4304 ^ G4012-G3972 ^ 1
4305 ^ G4012-G5101 ^ 1
4306 ^ G4012-G5127-G2532 ^ 1
4307 ^ G4012-G5216 ^ 4
4308 ^ G4012-G846 ^ 1
4309 ^ G4013 ^ 6
4310 ^ G4014 ^ 4
4311 ^ G4015 ^ 2
4312 ^ G4016 ^ 22
4313 ^ G4016-G4675-G2440 ^ 1
4314 ^ G4016-G5482 ^ 1
4315 ^ G4017 ^ 7
4316 ^ G4018 ^ 2
4317 ^ G4019 ^ 1
4318 ^ G402 ^ 14
4319 ^ G4020 ^ 1
4320 ^ G4021 ^ 2
4321 ^ G4022 ^ 3
4322 ^ G4022-G3614 ^ 1
4323 ^ G4023 ^ 2
4324 ^ G4024 ^ 6
4325 ^ G4024-G4314 ^ 1
4326 ^ G4025 ^ 1
4327 ^ G4026 ^ 4
4328 ^ G4027 ^ 1
4329 ^ G4028 ^ 3
4330 ^ G4029 ^ 5
4331 ^ G403 ^ 1
4332 ^ G4030 ^ 2
4333 ^ G4032 ^ 1
4334 ^ G4033-G4571 ^ 1
4335 ^ G4034 ^ 2
4336 ^ G4035 ^ 2
4337 ^ G4036 ^ 5
4338 ^ G4037 ^ 1
4339 ^ G4038 ^ 1
4340 ^ G4039 ^ 1
4341 ^ G404 ^ 1
4342 ^ G4040 ^ 1
4343 ^ G4041 ^ 1
4344 ^ G4042 ^ 1
4345 ^ G4043 ^ 94
4346 ^ G4044-G1438 ^ 1
4347 ^ G4045 ^ 3
4348 ^ G4046 ^ 2
4349 ^ G4047 ^ 2
4350 ^ G4048 ^ 1
4351 ^ G4049 ^ 1
4352 ^ G405 ^ 1
4353 ^ G4050 ^ 3
4354 ^ G4051 ^ 5
4355 ^ G4052 ^ 35
4356 ^ G4052-G1722 ^ 1
4357 ^ G4052-G3956-G5485 ^ 1
4358 ^ G4052-G4119 ^ 1
4359 ^ G4052-G740 ^ 1
4360 ^ G4053 ^ 6
4361 ^ G4054 ^ 4
4362 ^ G4055 ^ 10
4363 ^ G4056 ^ 12
4364 ^ G4057 ^ 2
4365 ^ G4058 ^ 10
4366 ^ G4059 ^ 18
4367 ^ G406 ^ 13
4368 ^ G4060 ^ 6
4369 ^ G4060-G5418 ^ 1
4370 ^ G4060-G846-G5418 ^ 1
4371 ^ G4061 ^ 35
4372 ^ G4062 ^ 1
4373 ^ G4063 ^ 1
4374 ^ G4064 ^ 5
4375 ^ G4065 ^ 1
4376 ^ G4066 ^ 9
4377 ^ G4066-G3588-G1046 ^ 1
4378 ^ G4067 ^ 1
4379 ^ G4068-G3756 ^ 1
4380 ^ G4069 ^ 1
4381 ^ G407 ^ 1
4382 ^ G4071 ^ 14
4383 ^ G4072 ^ 5
4384 ^ G4073 ^ 16
4385 ^ G4074 ^ 161
4386 ^ G4074-G2532 ^ 1
4387 ^ G4075 ^ 4
4388 ^ G4076 ^ 1
4389 ^ G4077 ^ 12
4390 ^ G4078 ^ 1
4391 ^ G4079 ^ 2
4392 ^ G408 ^ 1
4393 ^ G4080 ^ 2
4394 ^ G4081 ^ 6
4395 ^ G4082 ^ 6
4396 ^ G4083 ^ 4
4397 ^ G4084 ^ 12
4398 ^ G4085 ^ 1
4399 ^ G4086 ^ 1
4400 ^ G4087 ^ 2
4401 ^ G4087-G3361 ^ 1
4402 ^ G4087-G4675-G2836 ^ 1
4403 ^ G4088 ^ 4
4404 ^ G4089 ^ 2
4405 ^ G409 ^ 1
4406 ^ G4090 ^ 2
4407 ^ G4091 ^ 55
4408 ^ G4092 ^ 1
4409 ^ G4093 ^ 1
4410 ^ G4094 ^ 5
4411 ^ G4095 ^ 73
4412 ^ G4095-G302 ^ 2
4413 ^ G4096 ^ 1
4414 ^ G4097 ^ 9
4415 ^ G4098 ^ 90
4416 ^ G4099 ^ 2
4417 ^ G41 ^ 1
4418 ^ G410 ^ 5
4419 ^ G4100 ^ 245
4420 ^ G4100-G2532 ^ 1
4421 ^ G4100-G302 ^ 1
4422 ^ G4100-G5213 ^ 1
4423 ^ G4101-G3487 ^ 2
4424 ^ G4102 ^ 242
4425 ^ G4103 ^ 65
4426 ^ G4103-G1537-G4061 ^ 1
4427 ^ G4103-G3754 ^ 1
4428 ^ G4104 ^ 1
4429 ^ G4105 ^ 38
4430 ^ G4105-G3361 ^ 1
4431 ^ G4106 ^ 8
4432 ^ G4107 ^ 1
4433 ^ G4108 ^ 5
4434 ^ G4109 ^ 3
4435 ^ G411 ^ 1
4436 ^ G4110 ^ 1
4437 ^ G4111 ^ 2
4438 ^ G4112 ^ 1
4439 ^ G4113 ^ 9
4440 ^ G4114 ^ 4
4441 ^ G4115 ^ 3
4442 ^ G4116 ^ 1
4443 ^ G4117 ^ 1
4444 ^ G4118 ^ 3
4445 ^ G4119 ^ 50
4446 ^ G412 ^ 1
4447 ^ G4120 ^ 3
4448 ^ G4121 ^ 7
4449 ^ G4121-G3756 ^ 1
4450 ^ G4121-G5209 ^ 1
4451 ^ G4122 ^ 5
4452 ^ G4123 ^ 4
4453 ^ G4124 ^ 10
4454 ^ G4125 ^ 5
4455 ^ G4126 ^ 5
4456 ^ G4127 ^ 19
4457 ^ G4128 ^ 31
4458 ^ G4129 ^ 12
4459 ^ G413 ^ 1
4460 ^ G4130 ^ 24
4461 ^ G4131 ^ 2
4462 ^ G4132 ^ 1
4463 ^ G4133 ^ 31
4464 ^ G4134 ^ 17
4465 ^ G4135 ^ 5
4466 ^ G4136 ^ 4
4467 ^ G4137 ^ 87
4468 ^ G4137-G1333 ^ 1
4469 ^ G4137-G3165 ^ 1
4470 ^ G4137-G5210 ^ 1
4471 ^ G4138 ^ 15
4472 ^ G4138-G846 ^ 2
4473 ^ G4139 ^ 16
4474 ^ G414 ^ 6
4475 ^ G4140 ^ 1
4476 ^ G4141 ^ 1
4477 ^ G4142 ^ 6
4478 ^ G4143 ^ 64
4479 ^ G4144 ^ 3
4480 ^ G4145 ^ 28
4481 ^ G4146 ^ 4
4482 ^ G4147 ^ 11
4483 ^ G4147-G3361 ^ 1
4484 ^ G4148 ^ 2
4485 ^ G4148-G4183 ^ 1
4486 ^ G4149 ^ 22
4487 ^ G415 ^ 1
4488 ^ G4150 ^ 1
4489 ^ G4151 ^ 384
4490 ^ G4151-G2532 ^ 1
4491 ^ G4152 ^ 25
4492 ^ G4152-G3303 ^ 1
4493 ^ G4153 ^ 2
4494 ^ G4154 ^ 7
4495 ^ G4155 ^ 2
4496 ^ G4156 ^ 3
4497 ^ G4157 ^ 2
4498 ^ G4158 ^ 1
4499 ^ G4159 ^ 28
4500 ^ G416 ^ 1
4501 ^ G4160 ^ 548
4502 ^ G4160-G1212 ^ 1
4503 ^ G4160-G1437 ^ 1
4504 ^ G4160-G1546 ^ 1
4505 ^ G4160-G1557 ^ 3
4506 ^ G4160-G1570 ^ 1
4507 ^ G4160-G1747 ^ 1
4508 ^ G4160-G1999 ^ 1
4509 ^ G4160-G2425 ^ 1
4510 ^ G4160-G2512 ^ 1
4511 ^ G4160-G2532-G458 ^ 1
4512 ^ G4160-G275 ^ 1
4513 ^ G4160-G302 ^ 2
4514 ^ G4160-G3056-G3762 ^ 1
4515 ^ G4160-G3085 ^ 1
4516 ^ G4160-G3361 ^ 3
4517 ^ G4160-G3391-G1106 ^ 1
4518 ^ G4160-G3420 ^ 1
4519 ^ G4160-G3598 ^ 1
4520 ^ G4160-G4197 ^ 1
4521 ^ G4160-G4824 ^ 1
4522 ^ G4160-G4963 ^ 1
4523 ^ G4161 ^ 2
4524 ^ G4162 ^ 1
4525 ^ G4163 ^ 6
4526 ^ G4164 ^ 10
4527 ^ G4165 ^ 11
4528 ^ G4166 ^ 18
4529 ^ G4167 ^ 5
4530 ^ G4168 ^ 5
4531 ^ G4169 ^ 34
4532 ^ G417 ^ 31
4533 ^ G4170 ^ 7
4534 ^ G4171 ^ 17
4535 ^ G4172 ^ 153
4536 ^ G4172-G2532 ^ 2
4537 ^ G4173 ^ 2
4538 ^ G4174 ^ 2
4539 ^ G4175 ^ 1
4540 ^ G4176 ^ 2
4541 ^ G4177 ^ 3
4542 ^ G4178 ^ 18
4543 ^ G4179 ^ 1
4544 ^ G418 ^ 1
4545 ^ G4180 ^ 1
4546 ^ G4181 ^ 1
4547 ^ G4182 ^ 1
4548 ^ G4183 ^ 353
4549 ^ G4183-G3056 ^ 1
4550 ^ G4183-G3123 ^ 1
4551 ^ G4183-G3303 ^ 1
4552 ^ G4183-G5550 ^ 1
4553 ^ G4183-G5610 ^ 1
4554 ^ G4184 ^ 1
4555 ^ G4185 ^ 3
4556 ^ G4186 ^ 2
4557 ^ G4187 ^ 1
4558 ^ G4188 ^ 2
4559 ^ G4189 ^ 7
4560 ^ G419 ^ 1
4561 ^ G4190 ^ 75
4562 ^ G4191 ^ 2
4563 ^ G4192 ^ 3
4564 ^ G4193 ^ 1
4565 ^ G4194 ^ 4
4566 ^ G4195 ^ 2
4567 ^ G4196 ^ 2
4568 ^ G4197 ^ 1
4569 ^ G4198 ^ 151
4570 ^ G4198-G2532 ^ 1
4571 ^ G4199 ^ 3
4572 ^ G42 ^ 3
4573 ^ G420 ^ 1
4574 ^ G4200 ^ 2
4575 ^ G4201 ^ 1
4576 ^ G4202 ^ 26
4577 ^ G4203 ^ 8
4578 ^ G4204 ^ 12
4579 ^ G4205 ^ 10
4580 ^ G4206 ^ 2
4581 ^ G4207 ^ 2
4582 ^ G4208 ^ 1
4583 ^ G4209 ^ 5
4584 ^ G421 ^ 2
4585 ^ G4210 ^ 3
4586 ^ G4211 ^ 1
4587 ^ G4212 ^ 3
4588 ^ G4213 ^ 3
4589 ^ G4214 ^ 26
4590 ^ G4214-G5550-G2076 ^ 1
4591 ^ G4215 ^ 15
4592 ^ G4216 ^ 1
4593 ^ G4217 ^ 7
4594 ^ G4218 ^ 26
4595 ^ G4219 ^ 12
4596 ^ G422 ^ 1
4597 ^ G4220 ^ 1
4598 ^ G4221 ^ 32
4599 ^ G4222 ^ 8
4600 ^ G4222-G1484 ^ 1
4601 ^ G4222-G3165 ^ 2
